constituency_id,constituency_name,prs_size,wage_to_house_price,uc_housing,housing_perc_on_uc,total_hb_incl_social,majority,,
E14000530,Aldershot,0.17,9,835,0.20,4160,11473,E14000530,Aldershot
E14000531,Aldridge-Brownhills,0.08,6.7,844,0.28,3031,14307,E14000531,Aldridge-Brownhills
E14000532,Altrincham and Sale West,0.12,8,1316,0.46,2884,6426,E14000532,Altrincham and Sale West
E14000533,Amber Valley,0.11,5.5,1409,0.32,4373,8300,E14000533,Amber Valley
E14000534,Arundel and South Downs,0.11,12.2,651,0.27,2379,23883,E14000534,Arundel and South Downs
E14000535,Ashfield,0.13,5.5,1282,0.23,5588,441,E14000535,Ashfield
E14000536,Ashford,0.15,8.9,1751,0.32,5425,17478,E14000536,Ashford
E14000537,Ashton-Under-Lyne,0.15,5.4,3001,0.42,7170,11295,E14000537,Ashton-Under-Lyne
E14000538,Aylesbury,0.15,9.7,991,0.23,4387,14656,E14000538,Aylesbury
E14000539,Banbury,0.17,9.5,1915,0.40,4763,12399,E14000539,Banbury
E14000540,Barking,0.19,10.1,3037,0.26,11568,21608,E14000540,Barking
E14000541,Barnsley Central,0.14,4.9,2638,0.45,5911,15546,E14000541,Barnsley Central
E14000542,Barnsley East,0.12,4.5,2814,0.45,6201,13283,E14000542,Barnsley East
E14000543,Barrow and Furness,0.14,4.3,1045,0.24,4286,209,E14000543,Barrow and Furness
E14000544,Basildon and Billericay,0.10,10.3,1995,0.39,5075,13400,E14000544,Basildon and Billericay
E14000545,Basingstoke,0.12,8.8,1696,0.33,5104,9466,E14000545,Basingstoke
E14000546,Bassetlaw,0.13,5.3,2062,0.42,4860,4852,E14000546,Bassetlaw
E14000547,Bath,0.23,11.3,2141,0.51,4233,5694,E14000547,Bath
E14000548,Batley and Spen,0.14,5,2610,0.43,6043,8961,E14000548,Batley and Spen
E14000549,Battersea,0.32,16.7,1505,0.24,6325,2416,E14000549,Battersea
E14000550,Beaconsfield,0.12,12.9,564,0.24,2342,24543,E14000550,Beaconsfield
E14000551,Beckenham,0.14,12,609,0.27,2295,15087,E14000551,Beckenham
E14000552,Bedford,0.19,8.9,3184,0.47,6782,789,E14000552,Bedford
E14000553,Bermondsey and Old Southwark,0.28,15.4,6093,0.51,11967,12972,E14000553,Bermondsey and Old Southwark
E14000554,Berwick-Upon-Tweed,0.17,6.8,687,0.25,2804,11781,E14000554,Berwick-Upon-Tweed
E14000555,Bethnal Green and Bow,0.31,14.3,3531,0.27,13248,35393,E14000555,Bethnal Green and Bow
E14000556,Beverley and Holderness,0.13,5.4,833,0.29,2850,14042,E14000556,Beverley and Holderness
E14000557,Bexhill and Battle,0.14,10.1,1664,0.44,3743,22165,E14000557,Bexhill and Battle
E14000558,Bexleyheath and Crayford,0.10,9.7,810,0.19,4197,9073,E14000558,Bexleyheath and Crayford
E14000559,Birkenhead,0.20,4.5,4006,0.39,10366,25514,E14000559,Birkenhead
E14000560,"Birmingham, Edgbaston",0.20,7.5,2535,0.32,8017,6917,E14000560,"Birmingham, Edgbaston"
E14000561,"Birmingham, Erdington",0.17,6.4,3252,0.29,11217,7285,E14000561,"Birmingham, Erdington"
E14000562,"Birmingham, Hall Green",0.22,6.9,2499,0.28,8807,33944,E14000562,"Birmingham, Hall Green"
